time_points,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69
PF3D7_0103100,2.80209,1.1575,0.446273,0.288254,0.345768,0.462743,2.60356,5.5815,10.1236,13.2456,13.1778,8.11736,2.48223,0.758771,0.203136,0.135134,0.0248399,0.294067,0.795497,2.27195,4.5492,7.87413,11.2215,8.1864
PF3D7_0103200,18.7814,31.1302,63.1666,113.333,164.213,222.909,270.306,237.722,230.776,155.609,98.0804,36.718,20.5604,25.9132,76.4027,124.771,158.53,166.683,219.779,222.443,214.466,195.476,108.02,56.5726
PF3D7_0103300,28.5456,35.9475,40.6234,41.8942,33.6366,27.0715,19.3081,17.0747,16.5729,16.9398,15.2561,20.3309,24.9671,37.0892,47.8756,48.3419,33.3423,29.5395,19.4128,17.1097,15.4811,13.1223,18.6908,17.2649
PF3D7_0103400,87.5422,16.922,5.76942,6.19516,11.237,27.7602,49.0103,47.7301,43.7376,26.2624,22.5562,64.4828,74.7271,24.6007,5.13496,5.26903,9.79996,18.7097,29.7778,31.8075,31.0918,24.3336,25.1128,24.6341
PF3D7_0103500,2.9679,1.05588,0.497804,0.402995,0.449976,1.20128,4.60079,7.95823,8.09673,7.07621,3.0636,5.28648,3.40528,0.932621,0.400709,0.525428,0.531996,1.32667,3.27945,5.4538,6.39753,6.40737,4.48808,3.47133
PF3D7_0103600,2.12593,1.5661,2.42815,4.97775,5.63238,10.335,10.1898,15.3889,11.6068,11.4344,8.14519,4.36404,2.33484,1.26926,2.93496,4.12414,5.78421,8.06218,13.1048,10.2048,12.318,5.51695,6.00305,3.42644
PF3D7_0103700,1.92879,3.27232,8.31066,9.87545,7.81364,6.65447,6.09797,7.13651,7.00279,5.3164,3.2491,2.19564,3.03877,3.30711,7.58809,9.40359,4.9896,6.34448,5.81401,3.04245,5.28462,3.44037,2.47156,1.06906
PF3D7_0103800,9.17532,2.38179,1.25646,0.865668,0.288442,0.105279,0.206031,0.489665,4.03375,10.398,16.4895,14.422,4.45045,1.14651,0.214051,0.144938,0.248659,0.163541,0.0560795,0.739158,2.85309,14.7627,29.9307,37.7056
PF3D7_0103900,2.74619,1.90402,2.66683,4.74163,7.10963,8.75798,20.2498,26.2034,32.5367,34.6544,24.8221,10.545,4.05648,1.54545,3.0337,6.99612,4.82663,6.04655,15.8961,21.6877,29.7863,27.1674,26.413,14.5048
PF3D7_0104000,2.5625,0.419491,0.454878,0.3134,0,0,0.335654,0.75575,1.03373,1.95297,3.66079,2.10408,0.302101,0.23348,0,0,0,0.266433,0.365447,1.29683,2.14527,3.2648,4.51495,7.10149
PF3D7_0104100,5.10085,1.28037,0.78474,0.499076,0.311799,0.227608,0.200443,0.323162,3.89986,17.4545,25.5334,28.1782,4.73065,2.44773,0.393353,0.29246,0.268795,0.106071,0.0969932,0.368776,2.32496,13.6042,33.353,44.8584
PF3D7_0104200,2615.29,409.311,79.1301,28.7873,42.0325,128.142,181.15,132.025,122.563,112.486,170.037,1042.51,2019.35,790.056,97.1866,27.5167,58.5227,143.696,213.068,199.165,163.781,158.316,181.651,495.914
PF3D7_0104300,561.791,290.359,147.554,111.216,79.0243,69.461,48.8154,36.5231,31.8982,21.5814,20.0676,161.299,567.801,403.822,174.461,117.344,89.8958,70.8502,53.2301,39.8818,32.624,20.4019,22.6902,42.8733
PF3D7_0104400,17.5345,7.40578,4.66891,3.53844,6.12551,15.844,30.9377,33.8209,35.1958,34.8268,28.2252,33.4386,15.752,7.86037,2.5055,2.29435,8.56548,16.2987,25.3941,28.9413,33.9097,39.1845,51.6248,57.6319
PF3D7_0104500,4.29744,23.7913,54.3012,81.9914,84.6814,81.0355,79.2165,78.811,55.4531,26.1371,8.76577,2.56629,7.04687,20.183,68.4239,88.4144,70.7785,71.8975,64.9365,52.2809,49.714,32.3535,11.9772,4.33074
PF3D7_0104600,0.258086,1.66358,2.92063,3.55101,2.96392,3.53692,3.58765,3.22226,1.7848,1.00059,0.886512,0.754951,0.661777,1.25219,3.41121,4.26881,3.82504,3.56224,4.27876,3.51253,3.3355,2.21953,1.12546,1.19802
PF3D7_0104700,0.191147,0.156457,0.203587,0.140266,0.0701054,0,0.175264,0.150331,0.308439,0.0886746,0.0642524,0.0261586,0,0.0696646,0.0520247,0.117423,0,0.119246,0.0545202,0.221109,0.453402,0.0649423,0.0673575,0.105945
PF3D7_0104800,36.6064,6.796,3.38474,1.68258,0.840958,1.06622,15.9656,37.6641,58.9763,57.6002,62.4712,78.5795,54.69,12.2712,2.33205,0.830312,0.381564,0.652475,7.53826,23.4174,41.0523,54.4497,46.0983,42.4966
PF3D7_0104900,1616.12,2485.29,3397.4,3332.64,4101.58,2418.3,2147.26,1896.17,2136.51,1860.38,2481.91,4902.1,5041.66,3410.5,2755.77,2682.03,388.403,463.674,244.875,231.857,288.553,302.208,395.294,312.783
PF3D7_0105000,90.5254,34.5259,34.8742,48.4082,59.3384,24.3653,24.5983,38.8167,35.2975,26.6141,27.435,58.1204,68.1211,42.1181,37.744,34.4312,19.1829,21.6282,16.893,10.8614,11.6904,14.2329,9.16273,9.07417
PF3D7_0105100,8.62939,3.44336,1.72331,1.58309,0.296712,1.51616,10.8088,27.147,54.6416,50.2907,40.2471,15.9427,4.57805,2.65362,0.880752,0.198791,0,0.336461,3.46125,13.8033,27.0913,31.0592,29.0784,11.6584
PF3D7_0105200,4.99582,3.57969,1.57012,1.38226,7.20895,25.3583,46.2791,56.5689,44.2904,29.1952,19.0986,19.3336,6.02489,2.05954,0.9362,1.1169,5.74857,14.9699,28.347,32.4709,30.7509,23.7488,13.5353,11.8023
PF3D7_0105300,234.345,46.2053,15.8583,5.70052,2.61171,2.07982,7.97083,11.4555,43.2763,113.348,472.53,909.31,307.72,66.2978,15.505,3.34051,2.86554,0,1.66181,9.36046,30.3497,44.6482,241.809,578.16
PF3D7_0105400,128.409,27.8404,6.95365,3.1666,1.23552,0.249263,3.64678,1.76627,1.96759,12.4135,153.889,359.381,144.849,33.3245,6.8633,0.620833,0.588707,0.350259,2.16233,3.40975,3.76047,10.2348,86.4642,252.799
PF3D7_0105500,1.62916,1.96388,0.867594,0.978137,0.570354,3.0334,15.1319,17.7342,21.304,16.7548,8.55047,2.97945,1.1524,0.566768,0.302326,0.109179,0.702414,2.12507,7.47712,13.62,13.887,14.7183,9.91616,6.40297
PF3D7_0105600,5.923,11.409,24.6106,29.9562,27.2582,23.4019,19.7072,18.6052,17.8927,13.5318,8.78052,3.81501,3.38687,9.71403,22.8924,33.1391,37.7123,37.437,25.3865,24.0621,23.5905,19.6475,10.036,8.43331
PF3D7_0105700,6.3145,2.86567,2.05702,1.37703,1.11526,1.82077,10.9265,19.9778,30.0088,23.4448,20.8331,16.7074,5.3483,2.23147,1.1296,0.60079,0.714582,0.939951,5.59072,11.7289,16.3981,15.6923,23.043,18.0612
PF3D7_0105800,28.4286,8.16622,3.28496,1.65316,1.00331,1.68021,10.3704,30.827,47.7217,69.9263,114.24,169.61,49.1727,11.6708,2.9125,0.850132,0.763173,0.435009,7.16005,16.5432,30.1764,39.5823,73.8675,94.5118
PF3D7_0105900,4.73824,1.11061,0.516131,0.592668,0.236974,0.994674,6.34754,13.3815,13.5166,15.1584,22.0447,34.9712,5.71301,1.825,0.395677,0.119076,0.715014,0.806159,4.79159,8.64187,14.7401,12.0737,9.94225,18.4433
PF3D7_0106000,34.7952,8.4145,4.39604,2.14831,1.47858,1.27208,6.28021,12.3805,23.681,36.1925,103.692,191.58,55.4718,11.3607,3.56604,1.27365,0.546278,0.808387,3.38802,9.43083,14.5448,29.2036,58.347,117.15
PF3D7_0106100,34.1458,31.2433,64.7848,77.4565,95.711,110.589,109.282,87.0224,103.433,91.9197,86.4109,92.9602,48.0311,38.4695,67.3161,84.4625,79.9241,94.8447,99.5407,84.5343,90.7584,103.616,86.7896,77.0702
PF3D7_0106200,10.5305,3.2663,2.36123,1.01677,0.152455,0.779027,1.74235,4.74032,10.732,21.0467,34.3029,39.8202,9.99713,3.63591,1.01822,0.204284,0.525712,0.518635,0,2.88502,6.37995,17.7946,43.8461,41.4711
PF3D7_0106300,302.623,372.144,281.303,208.867,179.533,146.585,149.739,138.634,178.433,195.433,239.233,222.99,288.092,394.333,288.336,238.614,206.586,168.944,132.211,166.306,176.075,262.139,347.359,318.617
PF3D7_0106400,57.1194,259.481,319.393,338.024,320.827,332.984,263.556,156.052,86.0106,40.7547,15.9098,9.64498,116.324,233.693,341.705,351.795,240.312,285.356,256.007,152.66,83.6836,49.2985,16.8816,9.44668
PF3D7_0106500,2.22888,1.07963,0.617874,0.604942,0.386338,0.331067,0.815873,3.03164,7.70696,12.6326,14.3173,9.50173,1.7062,0.734435,0.511072,0.371378,0.115845,0.228571,0.313514,0.900625,4.20483,6.17741,8.75805,7.27693
PF3D7_0106600,3.53644,0.607873,0.0941647,0.0648771,0.194554,0.213032,0.208452,0,0,0.105466,0.802401,0.653352,0.625381,0.193331,0.0721887,0.130348,0,0.110309,0,0,0,0,0.0623095,0.196011
PF3D7_0106700,65.7715,112.354,110.337,97.6295,95.4715,88.5835,72.9953,51.2021,39.7445,20.71,17.149,38.8341,94.7043,130.434,117.873,111.387,77.8761,69.2715,53.1199,46.0576,32.1806,20.6376,16.7136,20.2323
PF3D7_0106800,33.2013,12.606,6.68611,11.5676,23.0237,26.779,41.7718,54.8569,81.9053,109.998,126.468,103.778,24.472,10.0667,6.9482,9.97512,20.3775,29.5891,44.1664,65.3542,92.8462,179.867,179.035,212.476
PF3D7_0106900,2.33772,1.08765,0.491419,0.316003,0.169221,0.518819,1.93396,7.26951,8.4449,15.827,17.3239,11.0372,2.65447,0.73989,0.477194,0.113375,0.116705,1.03621,2.78994,4.96355,10.7125,6.05086,9.19163,8.01293
PF3D7_0107000,111.233,30.105,12.539,4.46848,4.24338,6.1952,49.1341,127.072,275.409,416.151,464.544,208.502,75.5228,24.6344,9.11548,3.44151,1.92533,6.83788,48.9794,141.23,215.812,436.12,471.222,477.917
